"id","author_label","date","rating","design_credibility","fidelity","implementation","twfe_impl","csdid_impl","bacon","honestdid_impl","dechaisemartin","paper_auditor","design_signal_honestdid","design_signal_bacon_tvt","n_impl_warn","n_impl_fail","short_summary","legacy_rating","fidelity_verdict","impl_axis"
233,"Kresch (2020)","46131","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","SKIPPED","PASS","NOT_NEEDED","EXACT","Mbar_first=0.40-0.48 (D-FRAGILE); Mbar_peak=0.62 (D-MODERATE); TWFE_avg=0.25 (D-FRAGILE)","N/A (single-cohort; 100% TvU by construction)",0,0,"TWFE=2868.317 reproduced 0.01% (F-HIGH); CS-NT=3329.351 correct after Pattern49/50 fix; Spec A OK (-0.5% gap confirms covariate-spec origin of headline divergence); Bacon N/A (single-cohort); pre-trend 400-715 BRL + Mbar_first=0.40-0.48 are D-FRAGILE design findings (Axis 3); rating HIGH F-HIGH x I-HIGH unchanged","HIGH","EXACT","HIGH"
241,"Soliman (2025)","20562","HIGH","D-MODERATE","F-HIGH","I-HIGH","PASS","PASS","PASS","NOT_APPLICABLE","NOT_NEEDED","EXACT","CS-NT avg Mbar=1.0 (D-MODERATE); first Mbar=0.75; peak Mbar=0.75","TVT=1.3pct (clean)",0,0,"DEA crackdowns reduce MME/capita -31.52 EXACT after 2026-04-19 fix; CS-NT dynamic -40.96 (30pct larger Lesson8 attenuation); Bacon TVT=1.3pct clean; HonestDiD NOT_APPLICABLE (2 pre-periods); HIGH M-HIGH x F-HIGH","HIGH","EXACT","HIGH"
201,"Maclean & Pabilonia (2025)","20562","LOW","D-FRAGILE","F-HIGH","I-LOW","WARN","WARN","NOT_APPLICABLE","WARN","NOT_NEEDED","EXACT","Mbar_first_twfe=0 (D-FRAGILE); Mbar_peak_twfe=0 (D-FRAGILE); Mbar_first_cs=0; Mbar_peak_cs=0","COVID-confounded Cohort 2020 (weight=34pct,ATT=+10.12); Cohort 2017 ATT=-3.97 (48pct); Cohort 2022 ATT=-21.49 (10pct)",2,0,"TWFE=4.609 EXACT; CS-NT dynamic=-14.19 (monthly RCS, panel=FALSE; was -3.04 in old collapsed run); sign reversal amplified to ~19min gap; Spec A Pattern42 anomalous zero; HonestDiD n_pre=2/7; all Mbar=0; COVID Cohort2020 dominates TWFE; LOW F-HIGH x I-LOW","LOW","EXACT","LOW"
305,"Brodeur, Yousaf (2020)","2026-04-20","HIGH","D-FRAGILE","F-HIGH","I-HIGH","WARN","WARN","WARN","WARN","NOT_NEEDED","NOT_APPLICABLE","Mbar_avg=fragile (ub=+0.046 at M=0); peak robust at M=0 only; realistic M>>1 encompasses zero for all targets","TVT_significant (14 cohorts 2000-2013); growing effects imply negative Bacon weights",4,0,"large CS-DID pre-period coefs are Axis-3 design findings, not impl [re-skeptic 2026-04-20]","HIGH","EXACT","HIGH"
21,"Buchmueller, Carey (2018)","20562","HIGH","D-FRAGILE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","NOT_APPLICABLE","Mbar_avg_twfe=0.05 (D-FRAGILE); Mbar_avg_cs=0.01 (D-FRAGILE); Mbar_first=0 both estimators","TvT=6.1% (D-ROBUST; informational: allow_unbalanced misread by reviewer)",0,0,"PDMP reduces polypharmacy -0.19pp; TWFE -0.00187 within 1.6% of paper; CS-NT dynamic -0.001888 within 4.9%; HonestDiD avg fragile (M_bar~0.05 TWFE); TWFE pre-trends large t=-3/t=-2 but CS-NT flat (design finding D-FRAGILE); HIGH rating F-NA x I-HIGH","HIGH","EXACT","HIGH"
79,"Carpenter, Lawler (2019)","20562","MODERATE","D-MODERATE","F-HIGH","I-MOD","PASS","WARN","NOT_APPLICABLE","PASS","NOT_NEEDED","EXACT","TWFE_rm_first=1.75 (robust); TWFE_rm_avg=0.50 (D-MODERATE); CS-NYT_rm_first=1.50 (robust); CS-NYT_rm_avg=0.25 (D-FRAGILE); Spec A Pattern42 collapse (53 ctrls; both CS=0)","N/A (RCS data structure)",1,0,"TWFE=0.135 EXACT (0.027% gap Table2Col1); Spec A Pattern42 collapse (53 ctrls overwhelm DR propensity; CS-NT=CS-NYT=0); Spec B clean: TWFE=0.153 vs CS-NT=0.163 (+6%) vs CS-NYT=0.087 (-36%); Lesson7 COLLAPSE-staggered exemplar; D-MODERATE (TWFE rm_avg=0.50); MODERATE rating F-HIGH x I-MOD (upgraded from F-NA)","MODERATE","EXACT","MOD"
76,"Lawler, Yewell (2023)","20562","HIGH","D-MODERATE","F-HIGH","I-HIGH","PASS","PASS","NOT_APPLICABLE","PASS","NOT_NEEDED","EXACT","TWFE_avg_Mbar=0.25 (D-MODERATE); peak_Mbar=0.50; CS-NYT_avg fragile at Mbar=0","N/A (RCS data; aggregated Bacon shows 2015 cohort negative TVU)",0,0,"TWFE=0.0383 exact match (0.06%); CS-DID Pattern-25 structural gap (design finding not impl error); HonestDiD Mbar thresholds = design findings; all impl reviewers PASS; HIGH F-HIGH x I-HIGH (upgraded from LOW; prior report conflated Axis-2 and Axis-3)","HIGH","EXACT","HIGH"
80,"Marcus et al. (2022)","20562","MODERATE","D-MODERATE","F-HIGH","I-MOD","PASS","WARN","NOT_APPLICABLE","NOT_APPLICABLE","NOT_NEEDED","EXACT","N/A (only 2 pre-periods; HonestDiD skipped)","N/A (single-cohort RCS; Bacon not applicable)",1,0,"Voucher program TWFE=0.008925 EXACT (-0.83%); cs_cluster=none impl WARN (Axis 2); CS-NT 3.4x divergence is Pattern25 RCS design finding (Axis 3); pre-trends non-sig but underpowered (2 pre-periods); D-MODERATE; MODERATE rating upgraded from LOW under 3-axis rubric F-HIGH x I-MOD","MODERATE","EXACT","MOD"
281,"Steffens, Pereda (2025)","2026-04-20","HIGH","D-BROKEN","F-NA","I-HIGH","WARN","PASS","N/A","PASS","NOT_NEEDED","NOT_APPLICABLE","Null robust at all Mbar (rm_first=rm_avg=rm_peak=0); HonestDiD confirms null","N/A (single-timing; bacon not run)",0,2,"null-result; HonestDiD M=0 at all targets reflects imprecision, not fragility of a positive estimate [re-skeptic 2026-04-20]","HIGH","NOT_APPLICABLE","HIGH"
359,"Anderson, Charles, Olivares, Rees (2019)","2026-04-20","HIGH","D-MODERATE","F-HIGH","I-HIGH","WARN","FAIL","WARN","WARN","NOT_NEEDED","NOT_APPLICABLE","TWFE_Mbar0_CI=[-0.080,+0.009] no robustness; CS-NT_first_Mbar0=[-0.117,+0.003] marginally neg only","TVT_dominant; Treated-vs-Untreated range -0.354 to +0.285; extreme cohort heterogeneity (16 cohorts 1900-1917)",3,1,"Spec A Pattern-42 collapse is Axis-3 design finding [re-skeptic 2026-04-20]","HIGH","EXACT","HIGH"
2303,"Cao & Ma (2023)","20562","MODERATE","D-MODERATE","F-HIGH","I-MOD","WARN","PASS","WARN","PASS","NOT_NEEDED","NOT_APPLICABLE","rm_first_Mbar=0.25 (CS-NT D-MODERATE); TWFE D-FRAGILE (FE-induced)","LvE+EvL both present; 15625 pairs; estimate range -88 to +45; TvNT~51% limits bias",1,0,"BPPs reduce fires -4.836; Spec A & B recovered 2026-04-19; 5-estimator unanimity; 1 impl WARN (SE method); Bacon/CS pre-trends reclassified as design findings; D-MODERATE design; MODERATE rating","MODERATE","EXACT","MOD"
