our_id,our_author,our_outcome,hsk_category,hsk_policy_label,hsk_match_type,hsk_beta_channel,mvpf_constructible,notes
9,"Dranove et al. (2021)",lnpriceperpresc,Health adult,"MC adult/Medicaid managed care","topical_extension","G (fiscal externality: direct cost savings from lower drug prices in Medicaid)",yes,"HSK has MC intro (Goodman-Bacon 2017) and MC adult expansions; Dranove-Ody-Starc study a within-Medicaid cost-containment reform. β enters G directly as saved drug cost per prescription. WTP channel is ambiguous (beneficiaries are taxpayers, not enrollees)."
21,"Buchmueller & Carey (2018)",GT4pres,Health adult,"Medicare / prescription drug policy","topical_extension","G (fiscal externality via reduced inappropriate prescribing → Medicare Part D savings + downstream health effects)",partial,"PDMPs reduce Schedule II prescribing in Medicare Part D. WTP of patients is ambiguous (harm reduction). Fiscal channel: reduced Part D spend, offset by potential substitution."
25,"Carrillo & Feres (2019)",physician_cpta,Health child,"Health workforce / physician supply in Brazil","no_match","NA (non-US policy and non-MVPF-style study)",no,"Brazilian More Doctors program. HSK sample is US; health workforce policy not in catalog."
44,"Bosch & Campos-Vazquez (2014)",p3,Health adult,"Seguro Popular Mexico","no_match","NA (non-US policy)",no,"Mexican health insurance extension. Outside HSK's US scope."
47,"Clemens (2015)",priv_ins_cov_supp,Health adult,"Mass HI / Medigap / health insurance regulation","topical_extension","WTP via coverage take-up; G via subsidy cost",partial,"Community-rating reforms in individual HI market. Adjacent to HSK's Mass HI, Medigap tax, Oregon Health but not identical (regulatory, not subsidy)."
60,"Schmitt (2018)",lnprnonmed,Health adult,"Hospital market structure","topical_extension","G (private prices, not government cost) - mostly outside MVPF framework",no,"Multimarket-contact study of non-Medicare hospital prices. Private market, MVPF framework does not naturally apply."
61,"Evans & Garthwaite (2014)",excel_vgood,Cash transfers,"EITC 1993 (OBRA 93)","direct_extension","WTP (additive component: maternal self-rated health beyond earnings)",yes,"HSK EITC 1993 MVPF=1.12 uses only earnings/tax channel. Evans-Garthwaite's effect on maternal health adds a distinct non-pecuniary WTP component, analogous to HSK's discussion of infant health in their §IV.B. PILOT CASE."
65,"Akosa Antwi, Moriya & Simon (2013)",anyhi,Health adult,"Dependent-coverage mandate (ACA)","topical_extension","WTP (coverage expansion to young adults); G (subsidy via parent's employer plan)",partial,"ACA young-adult mandate. Adjacent to Mass HI/Medicaid adult. β (coverage rate) enters WTP denominator normalization."
68,"Tanaka (2014)",waz,Health child,"User-fees removal South Africa","no_match","NA (non-US policy)",no,"South African user-fee abolition. Outside HSK's US scope."
76,"Lawler & Yewell (2023)",bf_ever,Health child,"Baby-Friendly hospital regulation","no_match","NA (hospital regulation, not subsidy/transfer)",no,"Regulation of post-partum care practices; no direct fiscal transfer or subsidy. MVPF not naturally defined."
79,"Carpenter & Lawler (2019)",P_U13TDAP,Health child,"Vaccine mandates","topical_extension","WTP (future health gains); G (averted outbreak costs)",partial,"Tdap requirement for middle schoolers. HSK sample has no vaccine-mandate policy; but methodology is analogous to Medicaid child expansions (Wherry et al. 2018) – upstream health investment with long-run fiscal externality."
80,"Marcus et al. (2022)",sportsclub,Health child,"Sports-club voucher","topical_extension","WTP (future earnings if habit persists + direct child-health improvements); G (health system savings)",partial,"German voucher; topic (child human capital investment) aligns with HSK Child Education, but non-US."
97,"Bhalotra et al. (2021)",ins_rate_under5,Health child,"Water disinfection / under-5 mortality","topical_extension","WTP (VSL × mortality reduction); G (saved health costs if US-comparable)",partial,"LIC water-chlorination study. Methodology is analogous to HSK's treatment of mortality in FIU/Medicaid; channel is VSL. But non-US MVPF is not directly comparable."
125,"Levine, McKnight & Heep (2011)",insured,Health adult,"Young-adult HI expansions (pre-ACA)","topical_extension","WTP (coverage); G (subsidy)",partial,"State young-adult coverage laws. Same topical extension as id_65."
133,"Hoynes, Miller & Simon (2015)",lowbirth,Cash transfers,"EITC 1986 / EITC 1993","direct_extension","WTP (infant health as additive non-pecuniary component)",yes,"HSK EITC 1986 MVPF=1.20, EITC 1993=1.12. Both use only earnings/tax channel. HMS2015 estimates EITC effect on low-birthweight, which enters WTP via Almond-Currie infant-health-to-earnings literature. PILOT CASE. HSK footnote 66 explicitly discusses 'child outcomes' as WTP addition."
147,"Greenstone & Hanna (2014)",e_spm_mean,Top taxes / Environment,"Environmental regulation","no_match","NA (regulation, not a fiscal policy)",no,"Indian air/water regulations. Outside HSK's US fiscal-policy scope."
201,"Maclean & Pabilonia (2025)",carehh_k,Cash transfers,"State paid sick leave","topical_extension","WTP (parental time with children); G (labour supply + transfers)",partial,"Paid sick leave; conceptually similar to UI/DI benefits + family policy, but not in HSK catalog."
210,"Li et al. (2026)",lnprice,Health adult,"China drug-distribution reform","no_match","NA (non-US policy)",no,"Chinese pharmacy reform. Outside HSK's US scope."
213,"Estrada & Lombardi (2022)",left_school_plus1,Cash transfers,"Bureaucratic tenure (Brazil)","no_match","NA (non-US, labour market regulation)",no,"Brazilian dismissal protection. Outside HSK's scope."
228,"Sarmiento, Wagner & Zaklan (2023)",pm10,Top taxes / Environment,"Low emission zones","no_match","NA (regulation)",no,"European LEZ regulation. Non-fiscal."
233,"Kresch (2020)",invest_total,Health child,"Water/sanitation regulation Brazil","no_match","NA (non-US regulation)",no,"Brazilian municipal water investment mandate. Outside HSK."
234,"Myers (2017)",firstbirth18,Cash transfers / Health child,"Abortion policy","no_match","NA (regulation, not fiscal)",no,"Parental-involvement / mandatory-waiting laws. Regulation, not transfer."
241,"Soliman (2025)",MME_PC,Health adult,"Opioid policy","no_match","NA (regulation)",no,"Opioid prescribing policy. Adjacent to id_21 but not a fiscal policy."
242,"Moorthy & Shaloka (2025)",lnearns_gen1_a1499,Top taxes,"Fracking revolution","no_match","NA (technology shock, not policy)",no,"Not a policy intervention."
253,"Bancalari (2024)",vs_imr1y,Health child,"Infrastructure development","no_match","NA (non-US)",no,"Non-US infrastructure impact study."
254,"Gandhi et al. (2024)",hours_nursing_ratio_i,Health adult,"Medicaid reimbursement rates","direct_extension","G (reimbursement is the policy instrument: β enters as labour supply → staffing → quality → future Medicaid costs)",yes,"Medicaid NH reimbursement. Adjacent to HSK's MC intro / MC adult. β on staffing translates to quality-adjusted LY → WTP channel."
262,"Anderson, Charles & Rees (2020)",post_neonatal_rate,Health child,"Hospital desegregation 1960s","topical_extension","WTP (mortality × VSL); G (civil-rights compliance costs, diffuse)",partial,"Historical policy; analogous to HSK's Medicaid intro paper (Goodman-Bacon 2017) in period and setting."
263,"Axbard & Deng (2024)",any_air,Top taxes / Environment,"Pollution monitoring China","no_match","NA (non-US regulation)",no,"Chinese environmental enforcement. Outside HSK."
267,"Bhalotra et al. (2022)",lnMMRt1,Health child,"Women's political power","no_match","NA (political, not fiscal)",no,"Reservation quotas. Outside HSK's fiscal-policy scope."
271,"Sekhri & Shastry (2024)",hyv_major,Health child,"Green Revolution","no_match","NA (technology shock)",no,"Not a fiscal policy."
281,"Steffens & Pereda (2025)",smoke,Health adult,"Smoking bans","no_match","NA (non-US regulation)",no,"Brazilian indoor-smoking laws. Regulation, not transfer."
